AGI,Tissue1,Tissue2,Tissue3,Tissue4,Tissue5,Tissue6,Tissue7,Tissue8,Tissue9,Tissue10,Tissue11,Tissue12,Tissue13,Tissue14,Tissue15,Tissue16,Tissue17,Tissue18,Tissue19,Tissue20,Tissue21,Tissue22,Tissue23,Tissue24,Tissue25,Tissue26,Tissue27,Tissue28,Tissue29,Tissue30,Tissue31
TF1,27.965,48.295,23.87,267.805,14.435,14.465,32.255,27.495,109.33,27.685,395.06,17.115,21.945,20.115,20.045,23.435,672.77,24.44,13.385,16.85,18.56,28.585,214.775,36.065,27.565,22.875,34.205,26.945,26.39,21.525,34.43
TF2,3.53,68.455,3.27,3.88,3.475,3.95,5.76,87.12,482.585,3.555,3.34,3.585,2.95,3.395,3.63,2.6,3.165,3.005,3.27,2.795,2.975,3.25,3.43,3.34,3.49,3.73,3.35,3.375,4.185,2.925,4.08
TF3,4.235,75.27,9.115,5.075,3.235,3.32,45.37,255.64,1186.655,16.925,7.4,3.94,4.335,3.77,19.51,3.43,7.83,4.69,3.445,3.26,3.475,3.755,5.075,4.975,3.585,3.345,3.33,3.355,3.72,3.075,4.455
TF4,5.82,168.935,5.37,8.53,4.605,4.085,76.895,359.185,1204.72,12.365,20.23,4.955,7.16,7.26,41.475,3.905,9.805,4.635,4.37,4.24,4.26,3.885,4.435,5.425,4.735,3.365,3.645,4.1,6.705,4.69,4.96
TF5,5.145,198.465,4.105,4.055,3.015,2.965,3.34,10.145,71.115,3.165,3.615,3.015,2.555,2.585,2.715,2.85,3.305,2.815,3.01,2.835,2.6,2.645,3.05,3.065,2.65,2.755,2.84,3.025,2.865,2.955,3.435
TF6,18.74,485.69,11.2,14.85,3.145,4.055,31.94,185.245,647.97,13.66,4.515,3.325,4.07,3.765,8.165,3.325,4,3.36,3.615,2.755,2.985,3.425,3.195,4.1,3.045,3.285,3.105,4.765,3.595,3.625,4.56
TF7,4.415,153.05,3.605,3.525,3.085,3.335,5.175,52.075,204.475,3.84,3.255,3.33,3.09,2.945,3.095,3.12,3.17,3.07,3.015,2.95,3.125,2.97,15.16,3.29,3.165,3.495,3.095,2.88,2.96,2.945,2.9
TF8,2.725,3.195,3.16,95.875,2.61,2.91,2.985,2.605,3.135,2.8,70.775,3.045,2.8,2.36,2.63,2.485,110.01,3.255,2.855,2.605,2.79,2.7,57.69,6.72,2.835,2.745,2.43,3.41,2.585,2.695,3.325
TF9,19.655,132.45,195.3,244.17,18.07,10.29,26.575,67.8,244.77,149.57,402.32,15.53,22.2,9.495,66.175,69.23,339.705,74.945,12.035,7.125,6,20.74,31.785,224.71,30.955,5.525,10.445,8.14,11.375,471.825,10.14
TF10,5.53,45.35,4.55,5.355,3.215,3.23,4.455,18.95,93.4,3.55,5.095,3.725,3.58,3.175,3.855,3.45,6.075,3.35,3.465,3.515,3.505,4.325,3.555,3.985,3.33,4.2,3.005,4.655,3.05,4.91,4.375
TF11,26.39,336.215,7.11,4.075,3.675,3.705,6.71,66.51,243.635,5.175,7.05,3.525,3.855,3.215,3.49,3.685,3.975,4.425,3.27,3.925,3.42,4.615,5.375,4.535,4.025,4.165,4.21,3.455,4.1,3.19,6.115
TF12,4.97,5.24,4.035,115.865,3.875,4.155,4.105,3.7,4.11,4.995,277.505,7.165,3.92,4.375,5.21,5.395,219.79,7.945,3.77,3.96,3.675,3.81,129.54,12.35,4.675,3.415,3.705,4.055,3.31,3.67,3.785
